#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
80.5%,8050000,16100.000002362502,-1647341.0025809687,253686.1188759428,-1393654.8837050258,299.19030161657776,1045.2132057683134,0.9752688559959105,213,26:24
81.0%,8100000,16200.000002382874,-1647067.9769429127,255529.31310180874,-1391538.663841104,301.3641132497024,1045.2132057683134,0.9752688559959105,213,25:44
81.5%,8150000,16300.000002403247,-1645400.998721363,256845.22738073315,-1388555.7713406298,302.9160656850877,1045.2132057683134,0.9752688559959105,213,25:03
82.0%,8200000,16400.000002423618,-1647368.1835146463,256121.15776592898,-1391247.0257487174,302.0621182661097,1045.2132057683134,0.9752688559959105,213,24:22
82.5%,8250000,16500.00000244399,-1647985.461868899,254060.14145498516,-1393925.3204139138,299.6314133681033,1045.2132057683134,0.9752688559959105,213,23:42
83.0%,8300000,16600.000002464363,-1648177.5767397005,253520.6767486374,-1394656.8999910632,298.9951838064748,1045.2132057683134,0.9752688559959105,213,23:01
83.5%,8350000,16700.000002484736,-1646702.382129169,254811.9462267507,-1391890.4359024183,300.51807085420455,1045.2132057683134,0.9752688559959105,213,22:20
84.0%,8400000,16800.00000250511,-1647250.1076199776,254027.3805206746,-1393222.727099303,299.5927760399711,1045.2132057683134,0.9752688559959105,213,21:40
84.5%,8450000,16900.00000252548,-1648009.254689861,255463.23715937557,-1392546.0175304855,301.2861851343062,1045.2132057683134,0.9752688559959105,213,20:59
85.0%,8500000,17000.000002545854,-1646560.0760733904,255056.50651160165,-1391503.5695617888,300.8064984028312,1045.2132057683134,0.9752688559959105,213,20:18
85.5%,8550000,17100.000002566227,-1649976.3113804925,254606.96588796654,-1395369.345492526,300.2763227851417,1045.2132057683134,0.9752688559959105,213,19:38
86.0%,8600000,17200.0000025866,-1647021.2918555057,254151.57063300925,-1392869.7212224964,299.73924237928765,1045.2132057683134,0.9752688559959105,213,18:57
