,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DMXL2,6487.624040557725,-0.24102812519778288,0.14340505042734486,-1.6807506045255922,0.09281136675921228,0.28316751181156746
SCG3,2274.757623948643,-0.19256736023409413,0.2756810281013377,-0.6985150975398575,0.484855119489622,0.7077626001106956
LYSMD2,153.84207972670825,-0.14868693867956706,0.2639445524928563,-0.563326415625082,0.5732126337485091,0.7690136765245363
TMOD2,7864.089550561737,-0.7308703881404388,0.2959268168851426,-2.4697673425930504,0.013520095199227415,0.09331733639250628
TMOD3,3174.592676860427,0.07124862988409449,0.15138347469606409,0.4706499836071402,0.637890707312117,0.8111131469177507
LOC100422556,33.82666825220683,-0.547890547015668,0.4392180030258644,-1.2474227905985995,0.2122425142447022,0.452979142095119
LEO1,1710.1205821831375,-0.059084540552752224,0.10371342154706426,-0.5696903994816155,0.5688877027450796,0.7661332580404465
MAPK6,4526.262125172345,0.19359934683333407,0.1412775668406119,1.3703474030788703,0.17057848231525585,0.40031318502586793
GNB5,787.4103640098132,-0.4033222197778912,0.16501770205840888,-2.444114872204033,0.014520802259461835,0.09720898315356682
LOC100129973,21.08298758550972,-0.8179903520340714,0.2671581478685286,-3.0618207176545233,0.0021999517454843642,0.03183748225363685
MYO5C,361.53465843251365,-0.23226169828570228,0.41596978161564696,-0.5583619497156416,0.576597250111213,0.7710191018059555
MYO5A,8697.368989637258,-0.5253451183779488,0.243809831857616,-2.1547331146380855,0.031182724894490796,0.15219277965028088
ARPP19,5281.589381550048,0.20651034919954261,0.14003716229068838,1.4746824758621542,0.14029792959330098,0.35984940260394993
FAM214A,1260.6605305459273,-0.17250355142894516,0.12771422120853965,-1.3506996307581967,0.17679167062359424,0.40823013941457376
